path,entrypoint_type,confidence,reasons,themes
audit_composite_apartments.py,candidate_entrypoint,70,has __main__ guard,"access_control, schema_db"
audit_logger.py,candidate_entrypoint,70,has __main__ guard; has argparse,"schema_db, telegram_bot"
audit_osbb_telegram_messages.py,candidate_entrypoint,70,has __main__ guard,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
audit_registry.py,candidate_entrypoint,70,has __main__ guard,schema_db
audit_tbot_quarantine.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db"
billing/build_parking_time_review_tasks.py,candidate_entrypoint,70,has __main__ guard,"parking_time, schema_db"
billing/import_ohorona_parking_time.py,candidate_entrypoint,70,has __main__ guard; has argparse,"parking_time, schema_db, telegram_bot"
billing/import_ohorona_parking_time_simple_preview.py,candidate_entrypoint,70,has __main__ guard; has argparse,"parking_time, schema_db, telegram_bot"
billing/import_parking_time_hints_from_ohorona.py,candidate_entrypoint,70,has __main__ guard,"parking_time, schema_db"
billing/migrate_add_parking_billing.py,candidate_entrypoint,85,has __main__ guard,"cashier, parking_time, schema_db, telegram_bot"
billing/report_parking_time_review_tasks.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db, telegram_bot"
billing/report_parking_time_with_hints.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db, telegram_bot"
billing_reconciliation_report.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
billing_statement_excel.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
Bots/data_park_bot.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has telegram application/handler hints,"parking_time, remote, schema_db, telegram_bot"
Bots/hello.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has telegram application/handler hints,"parking_time, remote, telegram_bot"
Bots/parking_bot - Copy.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has telegram application/handler hints,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot_before_cashier_editor_2026-06-25_14-45-08.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot_before_client_portal_2026-06-25_10-25-49.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot_before_language_gate_fix_2026-06-25_10-45-39.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot_before_launch_queues_menu_2026-06-25_12-21-29.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, parking_time, remote, schema_db, telegram_bot"
build_plate_candidates.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,schema_db
build_plate_evidence_by_digits_and_apartment.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, schema_db, telegram_bot"
build_plate_evidence_from_telegram.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, schema_db, telegram_bot"
build_verification_tasks.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,schema_db
cashier_journal.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
cashier_route_repair_payload/run_bot_live_services_sandbox_v1.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
cashier_v2_preflight.py,candidate_entrypoint,85,has __main__ guard,"cashier, schema_db"
cashier_v2_preflight_compat.py,candidate_entrypoint,85,has __main__ guard,"cashier, schema_db"
CHECK_guard_sandbox_service_orders.py,candidate_entrypoint,75,has __main__ guard,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
CHECK_guard_sandbox_service_orders_v2.py,candidate_entrypoint,75,has __main__ guard,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
CHECK_phone_barrier_access_operational_sandbox.py,candidate_entrypoint,75,has __main__ guard; has argparse,"access_control, cashier, schema_db"
CHECK_phone_barrier_access_sandbox_schema.py,candidate_entrypoint,75,has __main__ guard,"access_control, schema_db"
CHECK_profile_button_early_route_fix.py,candidate_entrypoint,75,has __main__ guard,"cashier, schema_db, telegram_bot"
CHECK_profile_confirmation_ready_visibility_fix.py,candidate_entrypoint,75,has __main__ guard,
CHECK_profile_critical_codes_fix.py,candidate_entrypoint,75,has __main__ guard,parking_time
CHECK_profile_parking_time_test_sandbox.py,candidate_entrypoint,75,has __main__ guard,"parking_time, schema_db"
CHECK_profile_test_candidate_apartment_40.py,candidate_entrypoint,75,has __main__ guard; has argparse,"cashier, parking_time, schema_db, telegram_bot"
CHECK_profile_verification_sandbox.py,candidate_entrypoint,75,has __main__ guard,schema_db
CHECK_profile_verification_terminology_v2.py,candidate_entrypoint,75,has __main__ guard,"access_control, parking_time, service_orders"
CHECK_service_code_compatibility_phone_v2.py,candidate_entrypoint,75,has __main__ guard,"access_control, cashier, schema_db, service_orders"
Collect_sheets.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, parking_time, schema_db"
Collect_sheets1.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, parking_time, schema_db"
Collect_word_tables.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,
commercial_contracts.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
commercial_notification_delivery.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"parking_time, schema_db, telegram_bot"
create_clean_live_sandbox.py,candidate_entrypoint,75,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
create_isolated_live_sandbox_v2.py,candidate_entrypoint,75,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.py,candidate_entrypoint,75,has __main__ guard,"cashier, parking_time, schema_db, service_orders"
Data/audit_databases.py,candidate_entrypoint,70,has __main__ guard,schema_db
Data/Audit_for_merge.py,candidate_entrypoint,70,has __main__ guard,
Data/car_registry.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,access_control
Data/check_passport_columns.py,candidate_entrypoint,75,has __main__ guard,
Data/clean_base_01.py,candidate_entrypoint,70,has __main__ guard,parking_time
Data/clean_base_02.py,candidate_entrypoint,70,has __main__ guard,parking_time
Data/Clean_Data.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time"
Data/conflicts.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,
Data/create_payment_sheet.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"cashier, parking_time"
Data/debug_conflict.py,candidate_entrypoint,75,has __main__ guard,
Data/final_merge.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, parking_time, schema_db"
Data/merge_all.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, parking_time, schema_db"
Data/run_direct_merge.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard,"access_control, parking_time, schema_db"
Data/run_flat_merge.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard,parking_time
Data/run_smart_merge.py,runtime_entrypoint,90,runtime_entrypoint,parking_time
diagnose_osbb_audit.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,schema_db
diagnose_sandbox_charges.py,candidate_entrypoint,75,has __main__ guard; has argparse,"cashier, schema_db"
extract_telegram_remote_facts.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, remote, schema_db, service_orders, telegram_bot"
extract_telegram_vehicle_facts.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, parking_time, remote, schema_db, telegram_bot"
FIND_actual_service_order_state.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
find_sandbox_telegram_id.py,candidate_entrypoint,75,has __main__ guard; has argparse,"access_control, cashier, schema_db, telegram_bot"
FIX_live_services_sandbox_payment_schema.py,candidate_entrypoint,75,has __main__ guard,"access_control, cashier, schema_db, service_orders, telegram_bot"
fix_parking_bot_language_gate.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,telegram_bot
fix_source_ref_schema.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"cashier, schema_db, service_orders, telegram_bot"
generate_parking_charges.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"cashier, parking_time, schema_db, telegram_bot"
guard_workspace_preflight.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
guard_workspace_preflight_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
import_house_registry.py,candidate_entrypoint,70,has __main__ guard,"access_control, schema_db"
import_ohorona_list1_to_central_cashbox.py,candidate_entrypoint,70,has __main__ guard; has argparse,"cashier, parking_time, schema_db, telegram_bot"
import_ohorona_sheet1_payments.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
import_ohorona_to_cashbox.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
import_osbb_telegram_messages.py,candidate_entrypoint,70,has __main__ guard,"schema_db, telegram_bot"
import_paper_parking.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db, telegram_bot"
import_tbot_quarantine.py,candidate_entrypoint,70,has __main__ guard,"access_control, schema_db"
init_osbb_db.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, parking_time, schema_db, telegram_bot"
init_osbb_quarantine_db.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, schema_db"
init_osbb_telegram_db.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, remote, schema_db, telegram_bot"
inspect_osbb_folder_filter.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"schema_db, telegram_bot"
INSTALL_cashier_route_after_phone_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, schema_db, service_orders"
INSTALL_PHONE_ACCESS_UI_FIX_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, service_orders"
INSTALL_PHONE_ACCESS_UI_FIX_v3.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, service_orders"
INSTALL_phone_barrier_access_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, schema_db, service_orders, telegram_bot"
INSTALL_profile_button_early_route_fix.py,candidate_entrypoint,85,has __main__ guard,"cashier, schema_db"
INSTALL_profile_confirmation_ready_visibility_fix.py,candidate_entrypoint,85,has __main__ guard,"cashier, schema_db"
INSTALL_profile_critical_codes_fix.py,candidate_entrypoint,85,has __main__ guard,"parking_time, schema_db"
INSTALL_profile_parking_time_test_v1.py,candidate_entrypoint,85,has __main__ guard,"parking_time, schema_db"
INSTALL_profile_verification_terminology_v2.py,candidate_entrypoint,85,has __main__ guard,"access_control, cashier, schema_db, service_orders"
INSTALL_profile_verification_v1.py,candidate_entrypoint,85,has __main__ guard,"schema_db, service_orders"
INSTALL_service_code_compatibility_phone_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, schema_db, service_orders"
install_service_orders_ui.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, schema_db, service_orders, telegram_bot"
list_osbb_folder_dialogs.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"schema_db, telegram_bot"
list_osbb_included_peers.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"access_control, schema_db, telegram_bot"
list_telegram_dialogs.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"schema_db, telegram_bot"
list_telegram_folders.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"schema_db, telegram_bot"
manage_staff_access.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
manage_staff_access_v2.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
migrate_access_control_and_guard.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
migrate_add_normalized_fields.py,candidate_entrypoint,85,has __main__ guard,"access_control, schema_db"
migrate_add_verification_evidence.py,candidate_entrypoint,85,has __main__ guard,schema_db
migrate_add_verification_tasks.py,candidate_entrypoint,85,has __main__ guard,schema_db
migrate_apartment_link_requests.py,candidate_entrypoint,85,has __main__ guard; has argparse,"schema_db, telegram_bot"
migrate_apartment_verification.py,candidate_entrypoint,85,has __main__ guard,"schema_db, telegram_bot"
migrate_billing_core.py,candidate_entrypoint,85,has __main__ guard,"access_control, cashier, parking_time, schema_db, telegram_bot"
migrate_bot_core.py,candidate_entrypoint,85,has __main__ guard,"access_control, cashier, schema_db, telegram_bot"
migrate_cashier_core.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, schema_db, telegram_bot"
migrate_cashier_operator_editor.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, schema_db, telegram_bot"
migrate_cashier_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, schema_db, telegram_bot"
migrate_cashier_v2_compat.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, schema_db, telegram_bot"
migrate_charge_adjustments.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, schema_db, telegram_bot"
migrate_commercial_contract_core.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
migrate_operator_audit_log.py,candidate_entrypoint,85,has __main__ guard,"schema_db, telegram_bot"
migrate_operator_audit_log_v2.py,candidate_entrypoint,85,has __main__ guard,"schema_db, telegram_bot"
MIGRATE_phone_barrier_access_operational_sandbox.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, schema_db, service_orders, telegram_bot"
MIGRATE_phone_barrier_access_sandbox.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, service_orders"
MIGRATE_profile_parking_time_test_sandbox.py,candidate_entrypoint,85,has __main__ guard,"access_control, cashier, parking_time, schema_db"
MIGRATE_profile_verification_sandbox.py,candidate_entrypoint,85,has __main__ guard,schema_db
migrate_remote_requests.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, remote, schema_db, telegram_bot"
migrate_service_items.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
migrate_service_orders_and_fulfillment.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
MIGRATE_simplified_services_sandbox.py,candidate_entrypoint,85,has __main__ guard,"schema_db, service_orders"
migrate_unit_registry_composite_groups.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, schema_db, telegram_bot"
normalize_registry_fields.py,candidate_entrypoint,70,has __main__ guard,"access_control, schema_db, telegram_bot"
OSBB_Service_Orders_Foundation_v1/migrate_service_orders_and_fulfillment.py,candidate_entrypoint,90,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
OSBB_Service_Orders_Foundation_v1/service_orders_preflight.py,candidate_entrypoint,90,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
parking_billing_statement.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
parking_time_test_payload/run_bot_live_services_sandbox_v1.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
patch_cashier_v2_core_period_and_schemafix.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, schema_db, telegram_bot"
patch_cashier_v2_core_schemafix.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
patch_guard_workspace_default_cash_note.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, schema_db, telegram_bot"
patch_guard_workspace_direct_notice_confirm.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, schema_db, telegram_bot"
patch_parking_bot_cashier_operator.py,candidate_entrypoint,85,has __main__ guard; has argparse,"cashier, telegram_bot"
patch_parking_bot_client_cabinet.py,candidate_entrypoint,85,has __main__ guard; has argparse,"parking_time, telegram_bot"
patch_parking_bot_client_portal.py,candidate_entrypoint,85,has __main__ guard; has argparse,"remote, telegram_bot"
patch_parking_bot_guard_workspace_v2.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, telegram_bot"
patch_parking_bot_guard_workspace_v3.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, telegram_bot"
patch_parking_bot_guard_workspace_v4.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, telegram_bot"
patch_parking_bot_launch_queues_menu.py,candidate_entrypoint,85,has __main__ guard; has argparse,remote
patch_parking_bot_service_orders_ui_v1.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, remote, service_orders, telegram_bot"
plate_consensus_apply.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"schema_db, telegram_bot"
plate_consensus_report.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
plate_consensus_report_v3.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
plate_consensus_top6.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,schema_db
prepare_live_service_test.py,candidate_entrypoint,75,has __main__ guard; has argparse,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
profile_button_early_route_payload/run_bot_live_services_sandbox_v1.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
profile_verification_payload/run_bot_live_services_sandbox_v1.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
repair_confirmed_unit_seed_notes.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"schema_db, telegram_bot"
report_bot_admins.py,candidate_entrypoint,70,has __main__ guard,"access_control, cashier, schema_db, telegram_bot"
report_plate_candidates.py,candidate_entrypoint,70,has __main__ guard,schema_db
report_verification_evidence.py,candidate_entrypoint,70,has __main__ guard,"schema_db, telegram_bot"
report_verification_tasks.py,candidate_entrypoint,70,has __main__ guard,schema_db
report_verification_tasks_enriched.py,candidate_entrypoint,70,has __main__ guard,schema_db
reset_service_catalog.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
restore_resident_apartment_link.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"schema_db, telegram_bot"
RETIRE_legacy_new_remote_test_orders_sandbox.py,candidate_entrypoint,75,has __main__ guard,"cashier, remote, schema_db, service_orders, telegram_bot"
run_bot_guard_sandbox.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
run_bot_guard_sandbox_v2.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
run_bot_guard_sandbox_v3.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, telegram_bot"
run_bot_live_service_sandbox_v4.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
run_bot_live_services_sandbox_v1.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
run_bot_sandbox_v2.py,runtime_entrypoint,90,runtime_entrypoint; has __main__ guard; has argparse,"access_control, cashier, schema_db, telegram_bot"
search_vehicle_by_plate_fragment.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, parking_time, schema_db"
seed_bot_admins.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"cashier, schema_db, telegram_bot"
seed_commercial_unit_placeholders.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, schema_db, telegram_bot"
seed_parking_tariffs.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard,"parking_time, schema_db, telegram_bot"
service_orders_preflight.py,candidate_entrypoint,85,has __main__ guard; has argparse,"access_control, cashier, remote, schema_db, service_orders, telegram_bot"
supervisor_dashboard.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"cashier, parking_time, schema_db"
switch_parking_bot_to_cashier_v2.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,cashier
telegram_test_login.py,candidate_entrypoint,75,has __main__ guard,"access_control, schema_db, telegram_bot"
telegram_test_login_manual.py,candidate_entrypoint,75,has __main__ guard,"access_control, schema_db, telegram_bot"
test_db_access_unit_resolver.py,candidate_entrypoint,75,has __main__ guard,"access_control, schema_db"
tools/cashier_parking_payments_audit_v4.py,candidate_entrypoint,90,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
tools/cashier_unpaid_preview.py,candidate_entrypoint,90,has __main__ guard,"access_control, cashier, parking_time, schema_db"
tools/cashier_unpaid_preview_v2.py,candidate_entrypoint,90,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
tools/cashier_unpaid_preview_v3.py,candidate_entrypoint,90,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
tools/db_schema_compare.py,candidate_entrypoint,90,has __main__ guard; has argparse,"schema_db, telegram_bot"
tools/db_schema_snapshot.py,candidate_entrypoint,90,has __main__ guard; has argparse,"cashier, parking_time, schema_db, telegram_bot"
tools/db_schema_snapshot_full.py,candidate_entrypoint,90,has __main__ guard; has argparse,"cashier, parking_time, schema_db, telegram_bot"
tools/project_code_search.py,candidate_entrypoint,90,has __main__ guard; has argparse,remote
tools/project_passport.py,candidate_entrypoint,90,has __main__ guard,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
tools/project_passport_v2.py,candidate_entrypoint,90,has __main__ guard,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
tools/project_passport_v3_classifier.py,candidate_entrypoint,90,has __main__ guard; has argparse; has telegram application/handler hints,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot"
unit_resolver.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"schema_db, telegram_bot"
vehicle_data_quality_tasks.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"cashier, parking_time, schema_db, telegram_bot"
vehicle_verification_tasks.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db, telegram_bot"
Word_table_to_Excel.py,candidate_entrypoint,70,has __main__ guard,
